                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94693,                    3.4,                 1.2882,                0.00333,                      1,                0.50329,                0.40902,                0.63074,                 3.1154,                0.97632,             0.00020004,             0.00020004,             0.00020004
                      2,                0.68674,                 1.9681,                 1.0336,                0.06443,                    0.9,                0.69521,                0.58768,                0.66841,                 2.8311,                0.99933,             0.00041262,             0.00041262,             0.00041262
                      3,                0.72834,                 1.6392,                 1.0383,                0.63173,                 0.4112,                0.56041,                0.39752,                 1.1253,                 3.2501,                 1.3288,             0.00062092,             0.00062092,             0.00062092
                      4,                0.74287,                 1.4451,                 1.0415,                0.78122,                0.19319,                0.47949,                 0.3347,                 1.0025,                 3.0057,                 1.1412,             0.00082492,             0.00082492,             0.00082492
                      5,                0.73573,                 1.3743,                 1.0264,                0.69004,                0.69666,                0.67775,                0.55973,                0.80441,                 2.0895,                 1.0822,              0.0010246,              0.0010246,              0.0010246
                      6,                0.75792,                 1.3897,                 1.0207,                0.87628,                0.79944,                0.84323,                0.65966,                0.77072,                 2.1308,                 1.0578,              0.0012201,              0.0012201,              0.0012201
                      7,                 0.7657,                   1.34,                 1.0502,                0.73534,                 0.7339,                   0.75,                0.55737,                0.96319,                 2.0485,                 1.1761,              0.0014112,              0.0014112,              0.0014112
                      8,                0.77501,                 1.2713,                 1.0459,                0.51954,                    0.7,                0.57887,                0.42345,                  0.876,                 2.3326,                 1.1396,              0.0015515,              0.0015515,              0.0015515
                      9,                0.74792,                 1.2549,                 1.0335,                0.89148,                  0.925,                0.88572,                0.72074,                0.71292,                 1.7544,                 1.0224,              0.0015515,              0.0015515,              0.0015515
                     10,                0.71548,                  1.153,                 1.0214,                0.84163,                   0.85,                0.79828,                0.63533,                0.70565,                 1.8845,                 1.0231,               0.001535,               0.001535,               0.001535
                     11,                0.67088,                 1.1019,                0.99228,                0.77721,                0.91291,                0.83393,                0.65527,                0.71944,                 1.6714,                 1.0044,              0.0015185,              0.0015185,              0.0015185
                     12,                0.71195,                 1.0532,                 0.9968,                0.92546,                  0.825,                0.87939,                0.70767,                0.66581,                 1.5998,                 1.0023,               0.001502,               0.001502,               0.001502
                     13,                0.68883,                 1.0058,                 1.0061,                0.81783,                0.89537,                0.85913,                0.69314,                0.74033,                 1.3935,                 1.0233,              0.0014855,              0.0014855,              0.0014855
                     14,                0.75797,                0.97946,                 1.0237,                0.82822,                  0.775,                0.80724,                0.64942,                0.73419,                 1.7918,                 1.0243,               0.001469,               0.001469,               0.001469
                     15,                0.71104,                 1.0238,                0.98785,                0.85783,                0.70473,                0.82767,                0.65705,                0.76089,                 2.4446,                 1.0864,              0.0014525,              0.0014525,              0.0014525
                     16,                0.72315,                0.96827,                 1.0179,                0.93254,                   0.95,                0.97027,                0.82799,                0.67511,                 1.1811,                 1.0142,               0.001436,               0.001436,               0.001436
                     17,                0.66206,                 0.8951,                  1.002,                0.94037,                0.89842,                0.93191,                 0.7847,                0.74598,                0.99133,                 1.0086,              0.0014195,              0.0014195,              0.0014195
                     18,                0.63471,                0.83531,                0.96854,                0.95674,                0.94708,                0.96643,                 0.7803,                0.74921,                0.89793,                 1.0001,              0.0014029,              0.0014029,              0.0014029
                     19,                 0.6997,                0.88965,                0.99927,                0.97049,                  0.975,                0.97407,                0.81994,                0.68445,                0.83612,                 1.0217,              0.0013864,              0.0013864,              0.0013864
                     20,                0.71851,                0.87342,                0.99543,                      1,                0.95566,                 0.9701,                0.82097,                0.72145,                0.85388,                 0.9978,              0.0013699,              0.0013699,              0.0013699
                     21,                0.70435,                0.82457,                0.99229,                0.95622,                  0.975,                0.97035,                0.82131,                0.67249,                0.76307,                0.99656,              0.0013534,              0.0013534,              0.0013534
                     22,                0.63221,                0.75143,                0.97472,                0.97118,                  0.925,                0.97965,                0.84714,                0.64761,                0.94458,                0.96038,              0.0013369,              0.0013369,              0.0013369
                     23,                0.63697,                 0.8015,                0.97742,                0.98922,                0.99852,                  0.995,                0.81352,                0.67998,                 0.7851,                 0.9807,              0.0013204,              0.0013204,              0.0013204
                     24,                0.64746,                0.81736,                 0.9851,                0.99682,                      1,                  0.995,                 0.8506,                0.61233,                0.57563,                0.97284,              0.0013039,              0.0013039,              0.0013039
                     25,                0.61702,                0.72476,                0.98293,                0.99161,                0.99844,                  0.995,                0.79872,                0.79773,                0.67631,                 1.0003,              0.0012874,              0.0012874,              0.0012874
